seed,same_initial_object,same_initial_goal,ground_truth_success,rgbd_success,success_identical,ground_truth_steps,rgbd_steps,rgbd_visual_error_m,rgbd_failure_class
0,True,True,True,True,True,463,455,0.0006281598278282374,success
1,True,True,True,True,True,375,375,0.0008829987492769091,success
2,True,True,True,True,True,528,515,0.0007816310804638513,success
3,True,True,True,True,True,463,473,0.0001540677195734872,success
4,True,True,True,True,True,575,565,0.0007735352583441862,success
5,True,True,True,True,True,472,469,0.0008303794615431427,success
6,True,True,True,True,True,466,465,0.0009686790036437773,success
7,True,True,True,True,True,477,476,0.000994328169235474,success
8,True,True,True,True,True,362,364,0.0010986210239379633,success
9,True,True,True,True,True,503,502,0.0013194348203396397,success
10,True,True,True,True,True,619,588,0.0009143699628535743,success
11,True,True,True,True,True,433,429,0.0004847975275613988,success
12,True,True,True,True,True,378,375,0.0019021335392687025,success
13,True,True,True,True,True,503,500,0.0006110690663034447,success
14,True,True,True,True,True,507,503,0.00044954989948406095,success
15,True,True,True,True,True,434,431,0.0004019895041879446,success
16,True,True,True,True,True,441,440,0.0008892050764106872,success
17,True,True,True,True,True,518,524,0.0005173183512321132,success
18,True,True,True,True,True,410,408,0.0009647637716420094,success
19,True,True,True,True,True,387,387,0.0013629656538407058,success
20,True,True,True,True,True,398,400,0.00013736878140951212,success
21,True,True,True,True,True,512,505,0.0010425263906116916,success
22,True,True,True,True,True,415,420,0.0008268417106406368,success
23,True,True,True,True,True,439,436,0.001097859427093887,success
24,True,True,True,True,True,443,447,0.0001582846164567875,success
25,True,True,True,True,True,482,480,0.0003130050815408425,success
26,True,True,True,True,True,419,421,0.0003787972278406858,success
27,True,True,True,True,True,468,466,0.000733748506477589,success
28,True,True,True,True,True,482,478,0.0009368065853986611,success
29,True,True,True,True,True,464,454,0.0010116862479724726,success
30,True,True,True,True,True,388,391,0.0004300440445331992,success
31,True,True,False,False,True,900,900,0.0004584612729701152,释放失败
32,True,True,True,True,True,435,430,0.0005540349165320525,success
33,True,True,True,True,True,516,512,0.0012194135520903061,success
34,True,True,True,True,True,346,346,0.0008056926284143103,success
35,True,True,True,True,True,461,458,0.00013091293116675992,success
36,True,True,True,True,True,484,484,0.00032285852734360176,success
37,True,True,True,True,True,408,412,0.0010348777448496685,success
38,True,True,True,True,True,461,467,0.0010110946043246387,success
39,True,True,True,True,True,433,432,0.0009591936833213815,success
40,True,True,True,True,True,509,504,0.0013811394018568687,success
41,True,True,True,True,True,440,440,0.00045150559713468387,success
42,True,True,True,True,True,487,490,0.00045648466293427454,success
43,True,True,True,True,True,480,464,0.0011111973500956842,success
44,True,True,True,True,True,449,439,0.0006071164354464124,success
45,True,True,True,True,True,453,452,0.000615953932517088,success
46,True,True,True,True,True,493,502,0.0009606114438530514,success
47,True,True,True,True,True,466,461,0.0015139638715409645,success
48,True,True,True,True,True,413,416,0.0005010085468245849,success
49,True,True,True,True,True,409,413,0.0008216137412667257,success
50,True,True,True,True,True,453,449,0.0010333814018621784,success
51,True,True,True,True,True,519,510,0.0003592779961045451,success
52,True,True,True,True,True,462,458,0.0003183097464982263,success
53,True,True,True,True,True,351,354,0.002134701490120572,success
54,True,True,True,True,True,382,384,0.0006946847664878449,success
55,True,True,True,True,True,443,441,0.0015332741225890084,success
56,True,True,True,True,True,531,545,0.00036101148024641073,success
57,True,True,True,True,True,511,509,0.00017727686853701363,success
58,True,True,True,True,True,394,395,0.0011992603407953253,success
59,True,True,True,True,True,406,406,0.0011317490071140733,success
60,True,True,True,True,True,483,468,0.0006576504073719383,success
61,True,True,True,True,True,411,412,0.0012452170953441038,success
62,True,True,True,True,True,486,484,6.217669797086212e-05,success
63,True,True,True,True,True,395,392,0.0010326094439666107,success
64,True,True,True,True,True,464,462,0.0002300990487545432,success
65,True,True,True,True,True,447,435,0.0003953788819112405,success
66,True,True,True,True,True,430,432,0.001281877712928195,success
67,True,True,True,True,True,513,506,0.0005588474417841875,success
68,True,True,True,True,True,423,424,0.0010897822391069988,success
69,True,True,True,True,True,460,463,0.00019492515607631114,success
70,True,True,True,True,True,394,393,0.0008328371423118099,success
71,True,True,True,True,True,428,432,0.0004355452198618828,success
72,True,True,True,True,True,559,533,0.00058761739425298,success
73,True,True,True,True,True,455,451,0.0008704975936893208,success
74,True,True,True,True,True,480,483,0.0011521419668075025,success
75,True,True,True,True,True,453,462,0.00042288331571786134,success
76,True,True,True,True,True,440,442,0.0007736779005714979,success
77,True,True,True,True,True,460,459,0.0008355262005928682,success
78,True,True,True,True,True,388,389,0.0008943462371673233,success
79,True,True,False,True,False,416,603,0.0006078243484716223,success
80,True,True,True,True,True,465,491,0.0006138424580198273,success
81,True,True,True,True,True,474,484,0.0006421989037762616,success
82,True,True,True,True,True,462,458,0.0009212972873021829,success
83,True,True,True,True,True,542,527,2.454612964777856e-05,success
84,True,True,True,True,True,444,443,0.0010212797128503885,success
85,True,True,True,True,True,420,422,0.0006481562394141716,success
86,True,True,True,True,True,510,502,0.0009656631564741755,success
87,True,True,True,True,True,405,407,0.0008503019099753939,success
88,True,True,True,True,True,404,407,0.0009461730570525883,success
89,True,True,True,True,True,451,450,0.000902810937475156,success
90,True,True,True,True,True,436,435,0.0007757705391212356,success
91,True,True,True,True,True,454,454,0.000570345526188793,success
92,True,True,True,True,True,516,503,0.00030689854290639085,success
93,True,True,True,True,True,478,480,0.0012926386618333425,success
94,True,True,True,True,True,418,416,0.0009463139276405088,success
95,True,True,True,True,True,408,405,0.00044960889583517204,success
96,True,True,True,True,True,446,447,0.0013070647732526068,success
97,True,True,True,True,True,483,476,0.001132473705461437,success
98,True,True,True,True,True,441,440,0.0005166018865499196,success
99,True,True,True,True,True,440,438,0.0006443672901489757,success
